co,d,h,idx,no2,o3,p,pm10,pm25,so2,t,timestamp,w
12,6,67,3304,42,5,1030,69,158,9,12,1483182000,3
8,6,67,488,33,10,1030,59,127,48,12,1483182000,3
7,6,67,489,33,10,1030,60,134,15,12,1483182000,3
10,6,67,485,35,8,1030,67,139,12,12,1483182000,3
11,6,67,483,40,9,1030,64,151,11,12,1483182000,3
11,6,67,487,39,11,1030,62,137,15,12,1483182000,3
10,6,67,490,41,10,1030,61,127,17,12,1483182000,3
11,6,40,931,28,5,1025,88,163,5,20,1483153200,4
10,6,40,916,38,16,1025,72,149,7,20,1483178400,4
10,6,40,924,29,29,1025,66,147,9,20,1483178400,4
8,10,52,3928,37,14,1025,65,142,5,20,1483182000,4
7,6,40,914,22,20,1025,53,134,6,20,1483178400,4
9,10,56,2572,50,8,1025,57,134,4,19,1483178400,3
8,10,52,2568,44,6,1025,70,155,11,20,1483182000,4
9,10,52,2570,60,5,1025,60,141,7,20,1483182000,4
10,10,52,2571,54,15,1025,56,122,5,20,1483182000,4
10,6,40,921,8,37,1025,51,117,6,20,1483178400,4
11,6,40,928,44,19,1025,57,122,5,20,1483178400,4
10,6,40,926,15,32,1025,57,127,8,20,1483178400,4
9,6,40,920,33,13,1025,66,124,7,20,1483178400,4
8,6,40,925,26,21,1025,58,117,5,20,1483178400,4
8,6,40,927,27,29,1025,59,114,6,20,1483178400,4
8,6,40,922,10,34,1025,50,112,5,20,1483178400,4
5,10,52,2569,29,18,1025,64,111,7,20,1483182000,4
9,10,52,2566,9,40,1025,54,109,8,20,1483182000,4
9,10,52,2567,33,27,1025,52,110,8,20,1483182000,4
45,-5,86,449,58,2,1027,432,496,6,-3,1483221600,1
55,-5,86,447,68,1,1027,477,480,3,-3,1483221600,1
51,-6,93,3303,62,4,1026,457,492,8,-5,1483225200,1
61,-5,86,446,57,1,1027,529,495,9,-3,1483221600,1
46,-5,86,448,63,1,1027,465,498,8,-3,1483221600,1
52,-5,86,452,76,2,1027,424,479,5,-3,1483221600,1
51,-5,86,451,62,3,1027,457,482,8,-3,1483221600,1
29,-5,86,469,57,2,1027,178,258,10,-3,1483221600,1
45,-5,86,450,70,1,1027,373,468,5,-3,1483221600,1
35,-5,86,463,57,1,1027,138,257,14,-3,1483221600,1
56,-5,86,457,59,1,1027,515,514,7,-3,1483221600,1
66,-5,86,462,79,3,1027,428,492,13,-3,1483221600,1
32,-5,86,466,45,1,1027,133,241,8,-3,1483221600,1
57,-6,93,477,53,6,1026,130,500,15,-5,1483221600,1
47,-6,93,474,41,1,1026,180,361,6,-5,1483221600,1
60,-6,93,479,51,1,1026,398,492,10,-5,1483221600,1
47,-6,93,478,67,2,1026,117,500,8,-5,1483221600,1
61,-6,93,476,61,1,1026,142,514,5,-5,1483221600,1
43,-6,93,467,40,1,1026,145,272,7,-5,1483221600,1
60,-6,93,480,54,2,1026,385,481,6,-5,1483221600,1
51,-6,93,460,47,3,1026,192,353,2,-5,1483221600,1
44,-6,93,461,45,1,1026,392,452,5,-5,1483221600,1
43,-6,93,454,65,3,1026,193,382,3,-5,1483221600,1
44,-6,93,456,50,2,1026,414,482,5,-5,1483221600,1
50,-6,93,464,67,3,1026,334,406,16,-5,1483221600,1
50,-6,93,458,54,2,1026,347,472,5,-5,1483221600,1
42,-6,93,459,48,2,1026,387,378,5,-5,1483221600,1
46,-6,93,455,63,4,1026,416,484,7,-5,1483221600,1
48,-6,93,453,69,2,1026,160,321,5,-5,1483221600,1
